"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"58272","서울특별시 강동구 천호동","22-9","0022","0009","고려아파트(D동)","84.7400","202410","26","61,800","D","3","개인","개인","2002","상암로41길 89-7","-","중개거래","서울 강동구","24.12.27"
"58273","서울특별시 강동구 암사동","509","0509","0000","선사현대아파트","82.9400","202410","26","119,000","109","28","개인","개인","2000","상암로 11","-","중개거래","서울 강동구","24.12.27"
"58274","서울특별시 강동구 상일동","476","0476","0000","중앙하이츠","59.9400","202410","26","77,300","2","5","개인","개인","1992","구천면로 557","-","중개거래","서울 강동구","25.01.02"
"58275","서울특별시 강동구 상일동","490","0490","0000","고덕리엔파크3단지","84.8700","202410","26","98,000","320","3","개인","개인","2011","상일로 74","-","중개거래","서울 강동구","24.12.23"
"58276","서울특별시 강동구 상일동","476","0476","0000","중앙하이츠","84.2300","202410","26","93,000","1","1","개인","개인","1992","구천면로 557","-","중개거래","서울 강동구","24.12.23"
"58277","서울특별시 용산구 원효로4가","178","0178","0000","강변삼성스위트","59.9200","202410","26","112,000","101","14","개인","개인","1999","원효로 40","-","중개거래","서울 용산구","24.12.17"
"58278","서울특별시 종로구 신문로1가","238","0238","0000","신문로맨션","81.2800","202410","26","79,500","-","10","개인","개인","1981","새문안로3길 12","-","중개거래","서울 종로구","24.12.18"
"58279","서울특별시 성동구 도선동","69","0069","0000","삼성쉐르빌","71.3400","202410","26","88,000","103","8","개인","개인","2006","무학로6길 50","-","중개거래","서울 성동구","25.02.07"
"58280","서울특별시 중구 신당동","844","0844","0000","남산타운","114.8800","202410","26","143,800","22","3","개인","개인","2002","다산로 32","-","중개거래","서울 중구","25.02.07"
"58281","서울특별시 중구 신당동","843","0843","0000","삼성","59.9800","202410","26","97,000","112","15","개인","개인","1999","청구로1길 23","-","중개거래","서울 중구","24.11.29"
"58282","서울특별시 광진구 광장동","250","0250","0000","신동아파밀리에","84.7800","202410","26","136,000","107","4","개인","개인","2007","아차산로 599","-","중개거래","서울 광진구","25.01.02"
"58283","서울특별시 성동구 옥수동","528-1","0528","0001","옥수파크힐스117동~125동","59.9100","202410","26","167,500","121","5","개인","개인","2016","매봉길 50","-","중개거래","서울 강동구, 서울 성동구","24.12.06"
"58284","서울특별시 종로구 사직동","9-1","0009","0001","광화문스페이스본(106동)","163.3300","202410","26","210,000","106","6","개인","개인","2008","경희궁길 57","-","중개거래","서울 종로구","25.02.28"
"58285","서울특별시 성동구 성수동2가","442","0442","0000","한신한강","59.9500","202410","26","210,000","101","11","개인","개인","2000","성수이로 3","-","중개거래","서울 성동구","25.02.05"
"58286","서울특별시 동대문구 전농동","6","0006","0000","전농우성","126.6300","202410","26","80,000","11","12","개인","개인","1992","사가정로 190","-","중개거래","서울 동대문구","25.02.27"
"58287","서울특별시 중구 만리동2가","273","0273","0000","서울역센트럴자이","59.9430","202410","26","147,000","102","8","개인","개인","2017","만리재로 175","-","중개거래","서울 마포구, 서울 중구","25.01.15"
"58288","서울특별시 성동구 행당동","346","0346","0000","행당한진타운","84.7100","202410","26","145,000","106","18","개인","개인","2000","행당로 82","-","중개거래","서울 성동구","25.02.07"
"58289","서울특별시 광진구 구의동","680","0680","0000","e편한세상광진그랜드파크","84.9716","202410","26","188,000","109","7","개인","개인","2021","광나루로 458","-","중개거래","서울 광진구, 서울 송파구","25.02.07"
"58290","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","59.9300","202410","26","151,000","-","21","개인","개인","2016","왕십리로 410","20241114","중개거래","서울 성동구","-"
"58291","서울특별시 성동구 하왕십리동","1061","1061","0000","왕십리풍림아이원","59.9360","202410","26","102,800","108","6","개인","개인","2004","난계로 84","-","중개거래","서울 서초구, 서울 성동구","25.01.17"
